job_title,company,location,summary,state
Associate Regulatory Scientist,Saputo,"Dallas, TX",Ability to organize and manage large amounts of data. Maintain accurate data within various customer’s data management systems. Travel – less than 10%.,TX
Analyst Data Analytics,Southwest Airlines,"Dallas, TX","Works with cross-functional teams of Data Scientists, Data Engineers, and Developers to determine the need for modeling, software development or database…",TX
Data Scientist (Industrial Operations),Hypergiant,"Dallas, TX",Hypergiant is putting together a world-class team of Machine Learning and AI practitioners and is seeking stellar Data Scientists to join our movement.,TX
Data Scientist,Simarn Solutions,"Irving, TX","Familiar with at least one machine learning framework: Published research on computer vision, image processing or machine learning.",TX
Data Scientist,State Farm,"Dallas, TX","Data Scientist Skills & Professional Experience Required: Experience with SQL, Python, R, Java, SAS or MapReduce, SPARK. Data Science at State Farm:",TX
Deep Learning Data Scientist,"Spectral MD, Inc.","Dallas, TX","They will work with a small team of clinical researchers, medical doctors, data scientists, and medical device engineers to analyze multidimensional image data…",TX
Lead Data Scientist,ITL USA,"Plano, TX","Infosys –Tecnology Lead - Data Scientist (R / Python) – US – Python, R. Excellent hands on R & Python experience. Location for this position is Plano, TX.",TX
Data Scientist,NTT DATA Services,"Plano, TX","Designing and executing processes related to machine learning and predictive modeling, data mining, and research on large scale complex data sets using…",TX
Data Scientist/Statistician (Statistical Modeling),S5 Stratos,"Dallas, TX",S5's R&D team is responsible for creating massively parallel systems while leveraging the deep understanding of distributed computing and machine learning.,TX
Data Scientist,HUNTER Technical Resources,"Addison, TX","Experience with common data science toolkits, such as Anaconda, R, Python. Experience with deploying machine learning systems from scratch.",TX
NLP Data Scientist /Analytic Consultant 4,Wells Fargo,"Dallas, TX","This includes using machine learning techniques and programming languages to derive relevant analysis and metrics, including building proof of concepts to…",TX
Deep Learning Data Scientist,"Spectral MD, Inc.","Dallas, TX","We are seeking someone with a strong background in the theory and application of deep learning for image segmentation and classification, machine learning…",TX
Data Scientist / Validation Analyst # 743265,Systemart LLC,"Plano, TX",Work experience in SAS and SQL. An outstanding fresh graduate student with right skills will be considered! Work on model validation reports with hiring manager…,TX
Product Data Scientist,Invitae,"Dallas, TX","You have at least 4+years of experience in a similar data scientist role and a degree in science, computer science, statistics, economics, mathematics, or…",TX
"Sr. Associate, Data Scientist Machine Learning",KPMG,"Dallas, TX",Associate Machine Learning Data Scientist to join our KPMG Lighthouse - Center of Excellence for Advanced Analytics. Refactor deploy and validate models;,TX
Data Scientist II (TX),AAA Texas,"Coppell, TX","A Data Scientist II will be expected to understand the business goals/needs, utilize big data technology to ingest and analyze large amounts of data, and…",TX
